,type,address,zip,price,date
0,21  OFFICE BUILDINGS,1865 BROADWAY,10023,300000000,1/30/2015
1,21 OFFICE BUILDINGS,125 WEST END AVENUE,10023,175000000,6/15/2018
2,21 OFFICE BUILDINGS,1841 BROADWAY,10023,0,9/5/2019
3,21 OFFICE BUILDINGS,125 WEST END AVENUE,10023,230000000,10/30/2019
4,22  STORE BUILDINGS,207 WEST 75TH STREET,10023,13250000,1/8/2015
5,22 STORE BUILDINGS,156 WEST 72ND   STREET,10023,0,7/27/2017
6,22 STORE BUILDINGS,156 WEST 72ND   STREET,10023,7700000,7/27/2017
7,22 STORE BUILDINGS,159 WEST 72ND STREET,10023,0,4/17/2018
8,26  OTHER HOTELS,340 AMSTERDAM AVE,10024,0,10/9/2015
9,26  OTHER HOTELS,242 WEST 76TH   STREET,10023,69420000,3/24/2016
10,26  OTHER HOTELS,2178 BROADWAY,10024,139999999,6/24/2016
11,26  OTHER HOTELS,346 WEST 71ST   STREET,10023,27625000,6/15/2016
12,26  OTHER HOTELS,350 WEST 71ST   STREET,10023,27625000,6/15/2016
13,26  OTHER HOTELS,305 WEST END AVENUE,10023,145000000,12/5/2016
14,26 OTHER HOTELS,115-123 WEST 70TH STREET,10023,0,12/21/2018
15,26 OTHER HOTELS,266 WEST 71ST   STREET,10023,0,1/9/2018
16,26 OTHER HOTELS,266 WEST 71ST STREET,10023,5200000,1/8/2019
17,26 OTHER HOTELS,342 WEST 71ST STREET,10023,9600000,6/6/2019
18,29  COMMERCIAL GARAGES,40 RIVERSIDE BOULEVARD,10069,410826638,4/20/2015
19,29  COMMERCIAL GARAGES,20 RIVERSIDE BOULEVARD,10069,209623082,11/18/2015
20,29  COMMERCIAL GARAGES,WEST END AVENUE,10023,55241785,11/18/2015
21,31  COMMERCIAL VACANT LAND,JOE DIMAGGIO HIGHWAY,0,25000000,8/20/2015
22,31  COMMERCIAL VACANT LAND,N/A WEST END AVENUE,10069,0,4/20/2015
23,31  COMMERCIAL VACANT LAND,N/A RIVERSIDE BOULEVARD,10023,0,11/18/2015
24,31  COMMERCIAL VACANT LAND,208 AMSTERDAM AVENUE,10023,0,7/14/2016
25,31 COMMERCIAL VACANT LAND,36 WEST 66TH STREET,10023,0,9/14/2017
26,31 COMMERCIAL VACANT LAND,38 WEST 66TH STREET,10023,0,9/14/2017
27,31 COMMERCIAL VACANT LAND,40 WEST 66TH STREET,10023,0,9/14/2017
28,31 COMMERCIAL VACANT LAND,44 WEST 66TH STREET,10023,0,9/14/2017
29,31 COMMERCIAL VACANT LAND,N/A WEST END AVENUE,10023,0,6/15/2018
30,31 COMMERCIAL VACANT LAND,RIVERSIDE BOULEVARD,10069,1,3/9/2018
